id,Default_probability
110149,0.08301033316308028
110150,0.067622010172897
110151,0.08512913701947653
110152,0.16310965349695622
110153,0.15341144590376665
110154,0.22008078909905585
110155,0.13044346749581245
110156,0.121598871592319
110157,0.19028467310231928
110158,0.12360343171523967
110159,0.16717567663323607
110160,0.07420446122596727
110161,0.1674503107147565
110162,0.04373494863500689
110163,0.27516666307943216
110164,0.17921377090980006
110165,0.08527780288925689
110166,0.04361711642851755
110167,0.13385183881919305
110168,0.07367908635554234
110169,0.08082508263768183
110170,0.17896752526191748
110171,0.17932252195850748
110172,0.20704375097338304
110173,0.06574138583329042
110174,0.24778365398882277
110175,0.3048474862343192
110176,0.025153261813735995
110177,0.3162571687700079
110178,0.14239196463506223
110179,0.20922170008778596
110180,0.194609617883334
110181,0.0726292100115831
110182,0.47821561697746023
110183,0.21732369102060728
110184,0.05915269600719959
110185,0.28365110789035214
110186,0.13341636871086723
110187,0.10847050726154049
110188,0.07600296416799611
110189,0.2123800699229859
110190,0.05794462234124995
110191,0.12763953247286555
110192,0.04795902442186701
110193,0.10799315849593813
110194,0.06056234723995124
110195,0.14042697755542494
110196,0.15340811261635517
110197,0.25170531908048654
110198,0.05728426852390285
110199,0.3501050604009021
110200,0.23669841531508282
110201,0.08368456402684105
110202,0.1365320161372654
110203,0.14066365748352835
110204,0.1200142829508334
110205,0.2657616801930808
110206,0.23319199832525495
110207,0.0953905560124472
110208,0.16127378819558083
110209,0.10118358358684389
110210,0.08931821648471255
110211,0.3782763768898333
110212,0.1026437312953233
110213,0.19534013331684655
110214,0.18935822221312662
110215,0.3428460534626826
110216,0.1647768803551898
110217,0.1593981023937291
110218,0.14352463672168111
110219,0.10238160145922104
110220,0.1601087913637367
110221,0.11316950011015257
110222,0.08295487867661132
110223,0.06263959634225313
110224,0.1864823186822601
110225,0.08683083103643098
110226,0.11776537432086692
110227,0.1033529391351305
110228,0.06262677364598704
110229,0.08370935815067981
110230,0.1645190239912957
110231,0.05226372343743329
110232,0.3647724941232142
110233,0.08912095217386165
110234,0.16322658492135383
110235,0.07298506457166065
110236,0.0360949410187685
110237,0.07678539430005049
110238,0.14576676751773474
110239,0.13766265102668915
110240,0.14248688245678645
110241,0.12382465946231526
110242,0.05287580823513007
110243,0.07911911497926824
110244,0.08469065475299126
110245,0.050991312580564656
110246,0.05065042332763675
110247,0.061340791102953485
110248,0.05331050838996701
110249,0.14372311722498038
110250,0.18418400090128145
110251,0.028199289978805487
110252,0.028810564187895925
110253,0.1401910458816293
110254,0.22703919378581758
110255,0.1162890208070262
110256,0.1376568753111363
110257,0.05821424692644765
110258,0.0664391231094383
110259,0.08281840695485623
110260,0.05015910210728298
110261,0.10678757343361742
110262,0.06301898054976304
110263,0.09109174577079253
110264,0.21936596101594694
110265,0.04026703349496102
110266,0.023697509255986196
110267,0.14842116463365687
110268,0.1126064537741199
110269,0.07305342342340665
110270,0.023332918993861133
110271,0.11474493718625978
110272,0.09535990551152691
110273,0.107403265254368
110274,0.13181513313642518
110275,0.0902854606065309
110276,0.26670268403331904
110277,0.22937876122838108
110278,0.1528763327309935
110279,0.06923219520154937
110280,0.13344928664991004
110281,0.09112917616526499
110282,0.08362789194894703
110283,0.05521917476134303
110284,0.1290249567384405
110285,0.058755883794461464
110286,0.029759756156198115
110287,0.032659887972060424
110288,0.12450766749146402
110289,0.10463439987774753
110290,0.0653542050583031
110291,0.08241299353220388
110292,0.2456008288645542
110293,0.13711396280815977
110294,0.19651756916819876
110295,0.061281344029269054
110296,0.09060262587702686
110297,0.28149560361371295
110298,0.026693917889412472
110299,0.09522016542395392
110300,0.07324457911883794
110301,0.0884538592179604
110302,0.1283656553096068
110303,0.10123280797976213
110304,0.13970033588016528
110305,0.1330666217667238
110306,0.1134356984436348
110307,0.06341984825125672
110308,0.01911146351558443
110309,0.28737685397043655
110310,0.4104725766560673
110311,0.17832021132506723
110312,0.09510148497515561
110313,0.044800193445015034
110314,0.19451651020547678
110315,0.3239952859793469
110316,0.21392277003780483
110317,0.2430128473071518
110318,0.13740269483050582
110319,0.04910589715980573
110320,0.17464034821009117
110321,0.11402272899906836
110322,0.1845481204302269
110323,0.1456123838210498
110324,0.133811076899315
110325,0.029367273468694683
110326,0.1334824791792145
110327,0.03298984589443199
110328,0.10414807719688403
110329,0.12283500381488993
110330,0.08101508082462354
110331,0.19933756544875456
110332,0.20431115774306957
110333,0.08468341332608857
110334,0.049692729168076634
110335,0.10718495978958137
110336,0.378175390523497
110337,0.31431584282916036
110338,0.13462445516931326
110339,0.17446801191346642
110340,0.11384685897481109
110341,0.28652855097338875
110342,0.03986998633946035
110343,0.03948293951878035
110344,0.10597255262545092
110345,0.18233216434502542
110346,0.1756773207620231
110347,0.16614673671532462
110348,0.03329842693328735
110349,0.1905760337570048
110350,0.08248812334412665
110351,0.09410708026977771
110352,0.06589323713307388
110353,0.17812846954675768
110354,0.11051548752539661
110355,0.0980029300565122
110356,0.22060037017331688
110357,0.08272633117370026
110358,0.1090894774251968
110359,0.12276703837745909
110360,0.03893543873576974
110361,0.09213814873889088
110362,0.1694331127270038
110363,0.1278469354815869
110364,0.14479359305352338
110365,0.10078479489177504
110366,0.09645066774137342
110367,0.29967227473826824
110368,0.2660257244276378
110369,0.10245100591666678
110370,0.13981438310191083
110371,0.24320866548555473
110372,0.0964701997161434
110373,0.060678319076465065
110374,0.13933853104336527
110375,0.03394405471578352
110376,0.2971101409460612
110377,0.09064167915609928
110378,0.0654307358572734
110379,0.12874858396495614
110380,0.0381149950476002
110381,0.06421011268596913
110382,0.10623938493298322
110383,0.06127385118443124
110384,0.01546123616409861
110385,0.09188915818075705
110386,0.033275763760308226
110387,0.05207817496614363
110388,0.1757590284094875
110389,0.14394585451977276
110390,0.1761254397515261
110391,0.15422937915386337
110392,0.13199189062529304
110393,0.03794487688964333
110394,0.08344816270926533
110395,0.18589860202609207
110396,0.08515701461976272
110397,0.208342963532064
110398,0.12427736699314496
110399,0.06785270644204618
110400,0.09193671171100462
110401,0.1387765415884463
110402,0.15203605465118178
110403,0.21834860314220855
110404,0.2374948103065749
110405,0.04251606503219306
110406,0.09491674756762053
110407,0.23775058066124563
110408,0.08146173350500542
110409,0.017957506725025586
110410,0.08037425113676797
110411,0.08232259402939272
110412,0.22707882560159556
110413,0.10344886858998793
110414,0.08706888397099433
110415,0.09454467539752524
110416,0.027338813208561692
110417,0.4128405070269051
110418,0.06809576838352271
110419,0.05917286119633095
110420,0.15489818863480456
110421,0.14329630119029368
110422,0.28402989801777195
110423,0.07187220865081266
110424,0.04098000614940208
110425,0.1811294559870159
110426,0.18390359076353605
110427,0.09272490366830921
110428,0.1434266877114903
110429,0.06406907643723289
110430,0.06401045095528013
110431,0.0879618379817127
110432,0.10824249647196095
110433,0.03540756136154946
110434,0.06638543743708691
110435,0.16640677707769377
110436,0.08956467363690744
110437,0.04719454173299525
110438,0.03162700074307388
110439,0.2771074904514633
110440,0.09190064952432274
110441,0.07947942304895098
110442,0.08827553748700984
110443,0.0997943279930851
110444,0.08760019973485278
110445,0.4205262754161155
110446,0.1460547005170218
110447,0.17093038787676987
110448,0.07441176118669492
110449,0.16148174031481688
110450,0.08321683582655175
110451,0.25643827265563757
110452,0.1601022374884731
